Restaurant,Cuisine,Neighborhood
Gaia,Mediterranean,Herald Square
Tarallucci e Vino - Upper West Side,Italian,Upper West Side
Prohibition,American (New),Upper West Side
Jacob's Pickles,Soul Food / Southern,Upper West Side
Hasaki,Japanese / Sushi,East Village
Empellón,Mexican,Midtown East
Michael's,American (New),Midtown West
Qanoon,Middle Eastern,Chelsea
Hav & Mar,Seafood,Chelsea
The Sea Fire Grill,Seafood,Midtown East
Catria Cucina and Bar,Italian,Hudson Yards
Tinto Tapas Restaurant & Wine Bar,Spanish,Washington Heights
Off the Hook Raw Bar & Grill,Seafood,Astoria
Little Chef Little Cafe,Filipino,Long Island City
T Bar,American (New),Upper East Side
Lure Fishbar,Seafood,Soho
Frankie & Johnnie’s Steakhouse,Steakhouse,Times Square/Theatre District
Tanoreen,Middle Eastern,Bay Ridge
Aromi,Italian,Carroll Gardens
La Marchande,French,Lower Manhattan
Beauty & Essex,American (New),Lower East Side
Haven Rooftop,American (New),Times Square/Theatre District
Zero Otto Nove - Flatiron,Italian,Flatiron District
Morton's The Steakhouse—World Trade Center,Steakhouse,Lower Manhattan
Bourbon Steak New York,Steakhouse,Midtown West
Tarallucci e Vino - Union Square,Italian,Union Square
El Coco - Chelsea,Mexican,Chelsea
Nick's Lobster House,Seafood,Mill Basin
Metropolis,American (New),Lower Manhattan
The Ivory Peacock,Gastropub,Flatiron District
The Fulton,Seafood,The Seaport
Malii Gramercy,Thai,Gramercy
Bixi,Asian Fusion,Harlem
Morandi,Italian,West Village
Carlotto,Italian,Gramercy
Il Nonno,Italian,Astoria
Atrio Wine Bar & Restaurant,American (New),Battery Park City
A Pasta Bar,Italian,Soho
Maison Pickle,American (Traditional),Upper West Side
Aqua Boil,Seafood,Hells Kitchen
Oceana,Seafood,Midtown West
Point Seven,Seafood,Midtown East
The Terrace and Outdoor Gardens,American (New),Times Square/Theatre District
Godunk Thai Street Food,Thai,Noho
Nizza,Italian,Hells Kitchen
The Wolfe,American (New),Upper West Side
Verde on Smith,Italian,Cobble Hill
Pera Mediterranean Brasserie,Mediterranean,Murray Hill
Estiatorio Milos,Seafood,Midtown West
Champers Social Club,French,Soho
Greywind,American (New),Hudson Yards
Barano,Italian,Williamsburg
Tuome,American (New),East Village
Frenchette,French,Tribeca
Mr Chow New York - Tribeca,Chinese,Tribeca
Strip House Midtown,Steakhouse,Midtown West
Taste of India II,Indian,New Dorp
Pinky Swear,American (New),Lower East Side
Sotto la Luna,Italian,Astoria
Ma•dé,Asian Fusion,Nolita
Lele's Roman,Italian,Boerum Hill
Café Boulud,French,Upper East Side
Calvert's,American (New),Midtown West
Salt + Charcoal,Steakhouse,Williamsburg
Gaonnuri,Korean,Koreatown
Meet the Meat,Steakhouse,Astoria
Felice 83,Italian,Upper East Side
Sushi Ann,Japanese / Sushi,Midtown East
Petite Boucherie,French,West Village
Chez Josephine,French,Hells Kitchen
Dos Caminos Meatpacking District,Mexican,Meatpacking District
Empire Steak House - Midtown West,Steakhouse,Midtown West
Del Friscos Double Eagle Steakhouse New York,Steakhouse,Midtown West
Jue Lan Club,Chinese,Flatiron District
Limani,Mediterranean,Midtown West
Antica Pesa,Italian,Williamsburg
Crown Shy,American (New),Lower Manhattan
The Parlour Room,American (New),Herald Square
La Contenta Oeste,Mexican,West Village
Passerine,Indian,Flatiron District
Barawine,French,Harlem
Miriam Brooklyn,Mediterranean,Park Slope
David Burke Tavern,American (New),Upper East Side
Manuela,American (New),Soho
Tavern on the Green,American (New),Central Park
Sweet Catch,Seafood,Prospect Lefferts Gardens
Sereneco,American (New),Greenpoint
Glass House Tavern,American (New),Times Square/Theatre District
Tasca NYC,Latin American,Upper West Side
Becco,Italian,Times Square/Theatre District
Rowland's Bar & Grill,Gastropub,Herald Square
Kashkaval Garden,Mediterranean,Hells Kitchen
Socarrat Paella Bar - Nolita,Spanish,Nolita
Tucci,Italian,Noho
Le Rock,French,Midtown West
Leuca,Italian,Williamsburg
City Winery,American (New),Chelsea
Hudson VU,American (New),Hells Kitchen
L'Express,French,Gramercy
Filé Gumbo Bar,Cajun/Creole,Tribeca
5 Napkin Burger - Hell's Kitchen,American (Traditional),Hells Kitchen
Mesiba,Mediterranean,Williamsburg
Wagamama - Midtown,Asian Fusion,Midtown West
Docks Oyster Bar,Seafood,Midtown East
Socarrat Paella Bar - Chelsea,Spanish,Chelsea
Cosme,Mexican,Flatiron District
Sinigual,Mexican,Midtown East
Hupo,Chinese,Long Island City
Club A Steakhouse,Steakhouse,Midtown East
Mishik,Japanese / Sushi,Hudson Square
Treadwell Park - Upper East Side,American (Traditional),Upper East Side
Rynn Thai Restaurant & Bar,Thai,East Village
Bananas,American (New),East Village
Berimbau - Midtown,Brazilian,Herald Square
Le Rivage,French,Times Square/Theatre District
Plado Tasting Bar,Mediterranean,East Village
Mito - Bayside,Asian Fusion,Bayside
Cull & Pistol Oyster Bar,Seafood,Chelsea
State Grill and Bar,American (Traditional),Herald Square
Tarallucci e Vino - NoMad,Italian,Nomad
Il Fiorista,Mediterranean,Nomad
Perry Street,American (New),West Village
Fogo de Chão Brazilian Steakhouse,Brazilian,Midtown West
Tao Uptown,Pan-Asian,Midtown East
Barbounia,Mediterranean,Gramercy
Recette,French,Williamsburg
